Date,Team_1,Team_2,T1_Score,T2_Score,T1_Sum,T1_BP,T1_Ratio,T1_Srv_Sum,T1_Srv_Err,T1_Srv_Ace,T1_Srv_Eff,T1_Rec_Sum,T1_Rec_Err,T1_Rec_Pos,T1_Rec_Perf,T1_Att_Sum,T1_Att_Err,T1_Att_Blk,T1_Att_Kill,T1_Att_Kill_Perc,T1_Att_Eff,T1_Blk_Sum,T1_Blk_As,T2_Sum,T2_BP,T2_Ratio,T2_Srv_Sum,T2_Srv_Err,T2_Srv_Ace,T2_Srv_Eff,T2_Rec_Sum,T2_Rec_Err,T2_Rec_Pos,T2_Rec_Perf,T2_Att_Sum,T2_Att_Err,T2_Att_Blk,T2_Att_Kill,T2_Att_Kill_Perc,T2_Att_Eff,T2_Blk_Sum,T2_Blk_As
"01.10.2022, 14:45",Indykpol AZS Olsztyn,Grupa Azoty ZAKSA Kędzierzyn-Koźle,1,3,60,17,11,79,18,6,-13%,85,10,51%,25%,100,7,14,47,47%,26%,7,11,69,30,38,96,11,10,2%,61,6,45%,26%,88,7,7,45,51%,35%,14,11
"30.09.2022, 17:30",Jastrzębski Węgiel,GKS Katowice,3,0,51,17,27,77,15,4,-7%,54,4,55%,16%,88,4,1,43,48%,43%,4,8,48,16,16,70,16,4,-11%,62,4,50%,20%,91,8,4,43,47%,34%,1,17
"01.10.2022, 20:30",LUK  Lublin,Cerrad Enea Czarni Radom,2,3,76,23,35,109,16,3,-9%,85,9,49%,21%,115,6,10,63,54%,40%,10,9,82,23,40,104,19,9,-5%,93,3,47%,18%,128,10,10,63,49%,33%,10,13
"02.10.2022, 14:45",Aluron CMC Warta Zawiercie,PGE Skra Bełchatów,3,2,66,16,22,98,21,5,-16%,80,8,35%,12%,92,8,7,52,56%,40%,9,11,71,21,25,103,23,8,-8%,77,5,32%,9%,102,9,9,56,54%,37%,7,14
"03.10.2022, 17:30",BBTS Bielsko-Biała,Cuprum Lubin,1,3,63,22,17,100,19,7,-7%,77,12,40%,23%,97,5,10,48,49%,34%,8,10,80,30,32,103,26,12,-8%,81,7,45%,22%,109,7,8,58,53%,39%,10,10
"02.10.2022, 20:30",PSG Stal Nysa,Ślepsk Malow Suwałki,3,1,68,23,29,100,22,7,-12%,74,8,31%,10%,105,5,4,56,53%,44%,5,9,62,19,21,93,19,8,-7%,78,7,42%,14%,102,10,5,50,49%,34%,4,2
"02.10.2022, 17:30",Trefl Gdańsk,Barkom Każany Lwów,3,0,59,22,33,73,16,6,-6%,47,0,46%,21%,83,2,8,50,60%,48%,3,10,38,8,14,58,11,0,-17%,57,6,36%,17%,71,4,3,30,42%,32%,8,5
"01.10.2022, 17:30",Asseco Resovia Rzeszów,Projekt Warszawa,3,0,52,23,25,74,14,6,-8%,40,1,50%,22%,69,7,5,36,52%,34%,10,8,32,3,-4,54,14,1,-20%,60,6,36%,18%,75,6,10,26,34%,13%,5,5
"04.10.2022, 16:30",GKS Katowice,Projekt Warszawa,3,1,67,26,30,94,18,8,-6%,67,4,44%,25%,105,7,8,54,51%,37%,5,18,55,17,15,83,16,4,-6%,76,8,47%,26%,95,11,5,43,45%,28%,8,11
"05.10.2022, 18:45",Barkom Każany Lwów,Asseco Resovia Rzeszów,0,3,40,15,9,60,11,4,-1%,59,6,28%,10%,71,8,6,33,46%,26%,3,6,52,20,28,73,14,6,-6%,49,4,38%,24%,62,3,3,40,64%,54%,6,4
"06.10.2022, 21:00",Ślepsk Malow Suwałki,Trefl Gdańsk,3,1,68,15,32,99,19,2,-14%,83,5,48%,20%,111,3,9,54,48%,37%,12,8,78,23,35,102,19,5,-6%,79,2,64%,26%,125,10,12,64,51%,33%,9,5
"06.10.2022, 18:45",Cuprum Lubin,PSG Stal Nysa,0,3,35,8,0,50,11,3,-16%,62,10,38%,9%,71,5,9,27,38%,18%,5,6,58,29,36,74,11,10,2%,39,3,53%,12%,66,3,5,39,59%,46%,9,9
"05.10.2022, 21:00",PGE Skra Bełchatów,BBTS Bielsko-Biała,3,0,52,18,36,74,7,2,-2%,46,3,54%,28%,69,2,4,40,57%,49%,10,6,49,11,16,59,13,3,-13%,67,2,46%,13%,88,8,10,42,47%,27%,4,6
"05.10.2022, 16:30",Cerrad Enea Czarni Radom,Aluron CMC Warta Zawiercie,0,3,45,12,13,58,10,2,-12%,65,4,30%,15%,82,4,14,33,40%,18%,10,2,61,28,38,73,8,4,1%,48,2,50%,35%,92,3,10,43,46%,32%,14,6
"04.10.2022, 21:00",Grupa Azoty ZAKSA Kędzierzyn-Koźle,LUK  Lublin,3,0,59,23,37,73,9,3,-5%,53,4,43%,32%,76,5,4,45,59%,47%,11,7,45,12,16,61,8,4,-3%,64,3,56%,28%,88,7,11,37,42%,21%,4,3
"04.10.2022, 18:45",Jastrzębski Węgiel,Indykpol AZS Olsztyn,3,1,73,27,28,102,20,9,-7%,74,14,41%,21%,95,5,6,58,61%,49%,6,12,68,24,25,94,20,14,-6%,82,9,35%,15%,90,8,6,48,53%,37%,6,9
"08.10.2022, 17:30",Indykpol AZS Olsztyn,GKS Katowice,3,0,61,25,38,77,12,10,1%,56,6,44%,17%,75,4,1,43,57%,50%,8,10,47,14,13,67,11,6,-4%,65,10,35%,15%,80,5,8,40,50%,33%,1,5
"07.10.2022, 20:30",LUK  Lublin,Jastrzębski Węgiel,1,3,66,24,23,85,19,6,-10%,83,8,40%,20%,104,9,7,50,48%,32%,10,10,68,31,35,98,15,8,1%,66,6,48%,28%,97,2,10,53,54%,42%,7,14
"09.10.2022, 14:45",Aluron CMC Warta Zawiercie,Grupa Azoty ZAKSA Kędzierzyn-Koźle,3,1,73,25,39,97,15,5,-2%,75,5,49%,16%,123,4,10,60,48%,37%,8,10,68,20,30,91,16,5,-8%,82,5,36%,14%,108,9,8,53,49%,33%,10,15
"10.10.2022, 17:30",BBTS Bielsko-Biała,Cerrad Enea Czarni Radom,3,2,69,28,26,107,23,7,-11%,77,6,41%,20%,108,8,6,48,44%,31%,14,15,69,24,16,103,26,6,-14%,84,7,41%,10%,123,6,14,57,46%,30%,6,17
"09.10.2022, 20:30",PSG Stal Nysa,PGE Skra Bełchatów,2,3,69,31,25,99,16,10,-1%,85,8,28%,14%,106,10,10,48,45%,26%,11,8,77,34,29,104,19,8,-5%,83,10,42%,22%,111,8,11,59,53%,36%,10,10
"11.10.2022, 17:30",Trefl Gdańsk,Cuprum Lubin,3,0,53,24,27,73,12,10,2%,47,8,57%,19%,64,2,4,38,59%,50%,5,6,41,14,8,58,11,8,-3%,61,10,32%,9%,71,7,5,29,40%,23%,4,9
"09.10.2022, 17:30",Asseco Resovia Rzeszów,Ślepsk Malow Suwałki,3,1,75,29,45,101,19,11,-2%,67,4,47%,25%,94,6,1,50,53%,45%,14,13,58,14,8,85,18,4,-12%,82,11,41%,21%,117,7,14,53,45%,27%,1,11
"08.10.2022, 14:45",Projekt Warszawa,Barkom Każany Lwów,3,2,74,36,26,104,19,7,-1%,76,8,40%,14%,116,9,12,54,46%,28%,13,10,65,30,19,94,18,8,-6%,85,7,35%,14%,103,8,13,45,43%,23%,12,14
